Type of Room,People Accommodated,Number of Bathrooms,Number of Bedrooms,Number of Beds,Price,City
Private room,2,1.0,1.0,1.0,1,Seattle
Entire home/apt,2,1.0,1.0,1.0,2,Seattle
Entire home/apt,2,1.0,1.0,2.0,3,Seattle
Entire home/apt,6,2.0,3.0,3.0,5,Seattle
Entire home/apt,6,3.5,4.0,4.0,6,Seattle
Private room,2,1.0,1.0,1.0,1,Seattle
Entire home/apt,6,1.5,3.0,3.0,5,Seattle
Entire home/apt,8,3.0,4.0,5.0,9,Seattle
Entire home/apt,8,2.0,3.0,4.0,7,Seattle
Entire home/apt,3,1.0,1.0,2.0,3,Seattle
Entire home/apt,4,1.0,2.0,3.0,4,Seattle
Entire home/apt,4,2.0,2.0,2.0,3,Seattle
Entire home/apt,3,1.0,1.0,1.0,2,Seattle
Entire home/apt,2,1.0,1.0,1.0,1,Seattle
Entire home/apt,3,1.0,1.0,1.0,1,Seattle
Entire home/apt,4,1.0,1.0,1.0,3,Seattle
Entire home/apt,4,1.0,1.0,2.0,2,Seattle
Entire home/apt,4,1.0,1.0,2.0,4,Seattle
Entire home/apt,4,1.0,1.0,1.0,1,Seattle
Entire home/apt,4,1.0,1.0,2.0,1,Seattle
Entire home/apt,2,1.0,0.0,1.0,1,Seattle
Entire home/apt,5,1.5,3.0,3.0,6,Seattle
Entire home/apt,5,2.0,3.0,3.0,3,Seattle
Entire home/apt,6,1.0,2.0,3.0,2,Seattle
Entire home/apt,2,1.0,0.0,1.0,1,Seattle
Entire home/apt,3,1.0,1.0,2.0,1,Seattle
Entire home/apt,2,1.0,1.0,1.0,2,Seattle
Entire home/apt,6,2.0,3.0,2.0,5,Seattle
Private room,2,2.0,1.0,1.0,2,Seattle
Private room,2,1.0,1.0,1.0,1,Seattle
Entire home/apt,2,1.0,1.0,1.0,2,Seattle
Entire home/apt,4,1.0,1.0,1.0,2,Seattle
Entire home/apt,2,1.0,1.0,1.0,2,Seattle
Entire home/apt,8,2.0,4.0,4.0,3,Seattle
Entire home/apt,6,1.5,2.0,3.0,4,Seattle
Entire home/apt,4,1.0,0.0,2.0,2,Seattle
Entire home/apt,4,1.0,1.0,1.0,2,Seattle
Entire home/apt,2,1.0,1.0,2.0,2,Seattle
Entire home/apt,4,2.0,2.0,2.0,4,Seattle
Entire home/apt,4,1.0,0.0,2.0,1,Seattle
Private room,2,1.0,1.0,1.0,1,Seattle
Entire home/apt,6,1.0,2.0,3.0,2,Seattle
Entire home/apt,6,1.0,2.0,3.0,2,Seattle
Entire home/apt,2,1.0,0.0,1.0,1,Seattle
Entire home/apt,4,1.0,2.0,2.0,3,Seattle
Entire home/apt,4,1.0,1.0,1.0,1,Seattle
Entire home/apt,3,1.0,1.0,2.0,2,Seattle
Entire home/apt,4,1.0,1.0,2.0,1,Seattle
Entire home/apt,4,1.0,2.0,2.0,2,Seattle
Shared room,2,1.0,1.0,1.0,0,Seattle
Private room,2,1.0,1.0,1.0,1,Seattle
Entire home/apt,4,1.0,1.0,2.0,2,Seattle
Private room,1,1.0,1.0,1.0,0,Seattle
Entire home/apt,6,1.0,3.0,3.0,3,Seattle
Private room,2,1.0,1.0,2.0,0,Seattle
Private room,2,1.5,1.0,1.0,1,Seattle
Shared room,1,1.0,1.0,1.0,0,Seattle
Entire home/apt,2,1.0,1.0,1.0,1,Seattle
Entire home/apt,4,1.0,1.0,1.0,2,Seattle
Entire home/apt,4,1.0,2.0,3.0,1,Seattle
Entire home/apt,6,3.0,3.0,3.0,13,Seattle
Entire home/apt,6,1.5,3.0,4.0,3,Seattle
Private room,2,2.0,1.0,1.0,1,Seattle
Entire home/apt,2,1.0,1.0,1.0,1,Seattle
Entire home/apt,4,1.0,1.0,1.0,2,Seattle
Entire home/apt,5,2.0,3.0,3.0,3,Seattle
Private room,2,1.0,1.0,1.0,1,Seattle
Private room,2,1.0,1.0,1.0,1,Seattle
Entire home/apt,4,1.0,2.0,2.0,2,Seattle
Private room,2,1.0,1.0,1.0,1,Seattle
Entire home/apt,2,1.0,1.0,1.0,1,Seattle
Entire home/apt,2,1.0,1.0,1.0,2,Seattle
Entire home/apt,12,2.0,5.0,6.0,4,Seattle
Shared room,1,1.0,1.0,1.0,0,Seattle
Shared room,1,1.0,1.0,1.0,1,Seattle
Shared room,1,1.0,1.0,1.0,0,Seattle
Shared room,1,1.0,1.0,1.0,0,Seattle
Entire home/apt,4,1.0,2.0,2.0,1,Seattle
Entire home/apt,6,1.0,2.0,4.0,3,Seattle
Entire home/apt,6,1.0,2.0,4.0,3,Seattle
Shared room,1,1.0,1.0,1.0,0,Seattle
Shared room,1,1.0,1.0,1.0,0,Seattle
Entire home/apt,2,1.0,1.0,1.0,2,Seattle
Entire home/apt,4,1.0,1.0,2.0,1,Seattle
Private room,2,1.0,1.0,1.0,1,Seattle
Entire home/apt,7,3.0,4.0,5.0,7,Seattle
Entire home/apt,2,1.0,0.0,1.0,1,Seattle
Entire home/apt,6,1.0,2.0,3.0,3,Seattle
Entire home/apt,2,1.0,1.0,1.0,2,Seattle
Private room,3,1.0,1.0,3.0,1,Seattle
Entire home/apt,5,1.0,2.0,2.0,3,Seattle
Shared room,1,1.0,1.0,1.0,0,Seattle
Private room,2,2.0,1.0,2.0,1,Seattle
Private room,2,1.0,1.0,1.0,1,Seattle
Entire home/apt,5,1.0,2.0,3.0,4,Seattle
Entire home/apt,3,1.0,0.0,1.0,1,Seattle
Private room,2,1.0,1.0,1.0,1,Seattle
Entire home/apt,8,3.0,4.0,5.0,11,Seattle
Shared room,1,1.0,1.0,1.0,0,Seattle
Entire home/apt,2,1.0,1.0,1.0,2,Seattle
Entire home/apt,4,1.0,1.0,2.0,1,Seattle
Entire home/apt,4,1.0,1.0,1.0,1,Seattle
Entire home/apt,4,1.0,2.0,2.0,5,Seattle
Private room,3,1.0,1.0,1.0,0,Seattle
Private room,2,1.5,1.0,1.0,1,Seattle
Entire home/apt,6,1.0,2.0,4.0,3,Seattle
Entire home/apt,4,1.0,1.0,2.0,1,Seattle
Entire home/apt,2,1.0,1.0,1.0,2,Seattle
Entire home/apt,4,1.0,1.0,2.0,2,Seattle
Entire home/apt,7,1.0,3.0,4.0,5,Seattle
Entire home/apt,4,1.0,1.0,2.0,3,Seattle
Entire home/apt,5,1.0,1.0,2.0,4,Seattle
Entire home/apt,2,1.0,1.0,1.0,1,Seattle
Shared room,1,1.0,1.0,1.0,0,Seattle
Entire home/apt,4,1.0,2.0,2.0,4,Seattle
Entire home/apt,2,1.0,1.0,1.0,2,Seattle
Entire home/apt,5,1.0,3.0,3.0,4,Seattle
Entire home/apt,8,2.0,3.0,3.0,5,Seattle
Entire home/apt,2,1.0,1.0,1.0,1,Seattle
Shared room,1,1.0,1.0,1.0,0,Seattle
Entire home/apt,2,1.0,0.0,1.0,1,Seattle
Shared room,1,1.0,1.0,1.0,0,Seattle
Private room,2,1.5,1.0,1.0,0,Seattle
Entire home/apt,8,2.0,4.0,4.0,4,Seattle
Entire home/apt,2,1.0,1.0,1.0,2,Seattle
Entire home/apt,4,1.5,3.0,2.0,4,Seattle
